coverage_exit_status=0

  ...text-proof.ts |      95 |      100 |   66.66 |     100 |                   
  ...dary-proof.ts |   95.83 |      100 |   85.71 |     100 |                   
 src/tui           |   91.94 |    81.67 |   96.96 |   92.25 |                   
  ...l-renderer.ts |   69.23 |       50 |    87.5 |   71.05 | ...62-69,73,78-84 
  ...nt-handler.ts |     100 |    91.66 |     100 |     100 | 70,135            
  tui-renderer.ts  |     100 |    94.36 |     100 |     100 | 25,33,83,146      
  tui.types.ts     |     100 |      100 |     100 |     100 |                   
 src/web           |   93.17 |     82.8 |   96.55 |   94.21 |                   
  status.ts        |     100 |      100 |     100 |     100 |                   
  web-config.ts    |     100 |    88.88 |     100 |     100 | 84-88,119,167     
  ...tch-client.ts |   85.71 |    65.11 |     100 |   86.36 | ...08,150,213-214 
  web-fetch.ts     |   90.24 |    62.79 |     100 |    92.5 | 145-147           
  web-policy.ts    |     100 |      100 |     100 |     100 |                   
  web-redaction.ts |     100 |      100 |     100 |     100 |                   
  web-safety.ts    |   93.18 |    93.18 |     100 |   92.85 | 20,43             
  ...h-provider.ts |   89.09 |    75.86 |      80 |      94 | 45-46,63          
  web-search.ts    |     100 |    81.25 |     100 |     100 | 82,94-105         
 src/workspace     |   93.93 |    85.46 |   96.93 |   93.97 |                   
  ...e-contract.ts |     100 |      100 |     100 |     100 |                   
  ...nce-bridge.ts |   94.44 |    83.54 |     100 |    96.2 | 101,105,201       
  ...nce-router.ts |   95.71 |    89.41 |     100 |   95.71 | 141,166,283       
  code-runners.ts  |   94.87 |    76.74 |   93.75 |   94.87 | 188-189,227,246   
  ...ce-harness.ts |   86.11 |    77.77 |     100 |   84.84 | 245,257-261       
  i18n.ts          |     100 |      100 |     100 |     100 |                   
  ...e-registry.ts |   88.23 |    86.95 |   90.47 |   87.09 | 485-486,494-495   
  ...ser-runner.ts |     100 |      100 |     100 |     100 |                   
  ...ser-runner.ts |     100 |      100 |     100 |     100 |                   
  ...ditor-html.ts |   93.33 |    92.85 |     100 |   93.33 | 242               
  ...ient-logic.ts |     100 |    88.23 |     100 |     100 | 23,38             
